ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,50,97.35367738996788,77.64697852654344,3,3
1,51,134.1920940187898,nan,1,0
1,52,103.23778157082901,88.99876923930925,3,3
1,53,106.94705926653498,94.2820229866251,3,3
1,54,98.86127662450328,83.64400546847394,3,3
1,55,100.7376817048604,nan,3,0
1,56,76.50254396488052,71.44505577185953,1,1
1,57,95.28917417607525,80.65839714428068,3,3
1,58,92.29090912329956,76.48520797705686,3,3
1,59,83.97338535804799,63.63339845801238,3,3
1,60,41.18576954231229,43.3242232983976,1,1
1,61,83.4344574282272,66.22438652305108,3,3
1,62,119.08631831560625,nan,1,0
1,63,94.12771809631887,81.66839466474661,3,3
1,64,80.18746554043625,62.011286637018806,3,3
1,65,78.29324296467199,60.572571464396134,3,3
1,66,88.02558724370755,76.90983089898022,3,3
1,67,75.89498651283122,58.86947674070134,3,3
1,68,73.31391804630923,53.649908129953346,3,3
1,69,84.87426151108181,64.01502677627215,3,3
1,70,71.19854586017237,50.48998063197444,3,3
1,71,71.65878674234989,53.76486203965364,3,3
1,72,71.675827846918,54.77437351921814,3,3
1,73,72.56505962297106,51.17429982239948,3,3
1,74,88.46515712056498,79.54357875153222,3,3
1,75,84.11793337292082,74.13322019659454,3,3
1,76,68.44143289041968,49.6844256628013,3,3
1,77,112.42970916626257,nan,1,0
1,78,67.13033205120769,47.62824917323412,3,3
1,79,67.17790778634692,48.17717374968589,2,2
1,80,68.55510062739435,53.534382004721884,3,3
1,81,71.28416689647848,50.090159035136075,3,3
1,82,84.47881193625201,75.44332432596988,3,3
1,83,90.57723900898493,83.40438302805072,3,3
1,84,78.07850209515172,67.84819500668273,3,3
1,85,68.20002974559044,46.90362480806864,3,3
1,86,101.35921180820877,nan,4,0
1,87,75.52772894692393,64.85595405762497,3,3
1,88,61.76802456366742,41.569817695590565,3,3
1,89,62.66700481128735,41.49302210033022,3,3
1,90,86.52668808272907,79.51529279677563,3,3
1,91,67.3160040789575,54.35969291853858,3,3
1,92,66.26629872850252,52.62723850719947,3,3
